american-airlines,Skytrax,1.0
american-airlines,Skytrax,3.0
american-airlines,Skytrax,8.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,10.0
american-airlines,Skytrax,8.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,0.0
american-airlines,Skytrax,0.0
american-airlines,Skytrax,3.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,0.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,8.0
american-airlines,Skytrax,7.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,7.0
american-airlines,Skytrax,7.0
american-airlines,Skytrax,7.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,5.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,4.0
american-airlines,Skytrax,3.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,7.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,3.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,10.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,9.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,3.0
american-airlines,Skytrax,10.0
american-airlines,Skytrax,8.0
american-airlines,Skytrax,3.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,3.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,8.0
american-airlines,Skytrax,7.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,1.0
american-airlines,Skytrax,2.0
american-airlines,Skytrax,2.0
